id_batiment,infra_id,infra_type,type_infra_x,type_batiment,nb_maisons,type_infra_y,price_longueur,temps_longueur
E000001,P007111,infra_intacte,fourreau,habitation,3,fourreau,11083.01520210237,61.5723066783465
E000001,P007983,infra_intacte,aerien,habitation,3,aerien,20160.464433267647,80.6418577330706
E000001,P000308,infra_intacte,fourreau,habitation,3,fourreau,35226.718709811925,195.7039928322885
E000001,P007819,infra_intacte,fourreau,habitation,3,fourreau,15651.41789161665,86.95232162009249
E000002,P007111,infra_intacte,fourreau,habitation,3,fourreau,11083.01520210237,61.5723066783465
E000002,P007983,infra_intacte,aerien,habitation,3,aerien,20160.464433267647,80.6418577330706
E000002,P000308,infra_intacte,fourreau,habitation,3,fourreau,35226.718709811925,195.7039928322885
E000002,P007240,infra_intacte,aerien,habitation,3,aerien,5457.31289404745,21.8292515761898
E000003,P007111,infra_intacte,fourreau,habitation,1,fourreau,11083.01520210237,61.5723066783465
E000003,P007111,infra_intacte,fourreau,habitation,1,fourreau,11083.01520210237,61.5723066783465
E000003,P007113,a_remplacer,aerien,habitation,1,aerien,6096.754354181549,24.3870174167262
E000003,P007984,a_remplacer,aerien,habitation,1,aerien,15028.79897462935,60.1151958985174
E000003,P007823,a_remplacer,aerien,habitation,1,aerien,6145.141414791499,24.580565659166
E000004,P007111,infra_intacte,fourreau,habitation,2,fourreau,11083.01520210237,61.5723066783465
E000004,P007983,infra_intacte,aerien,habitation,2,aerien,20160.464433267647,80.6418577330706
E000004,P000308,infra_intacte,fourreau,habitation,2,fourreau,35226.718709811925,195.7039928322885
E000004,P000378,infra_intacte,aerien,habitation,2,aerien,13740.90286622705,54.9636114649082
E000004,P007393,infra_intacte,fourreau,habitation,2,fourreau,9571.972361191289,53.1776242288405
E000005,P007111,infra_intacte,fourreau,habitation,7,fourreau,11083.01520210237,61.5723066783465
E000005,P007983,infra_intacte,aerien,habitation,7,aerien,20160.464433267647,80.6418577330706
E000005,P000308,infra_intacte,fourreau,habitation,7,fourreau,35226.718709811925,195.7039928322885
E000005,P000378,infra_intacte,aerien,habitation,7,aerien,13740.90286622705,54.9636114649082
E000005,P007249,infra_intacte,aerien,habitation,7,aerien,7321.89118970965,29.2875647588386
E000006,P007111,infra_intacte,fourreau,habitation,4,fourreau,11083.01520210237,61.5723066783465
E000006,P007983,infra_intacte,aerien,habitation,4,aerien,20160.464433267647,80.6418577330706
E000006,P000308,infra_intacte,fourreau,habitation,4,fourreau,35226.718709811925,195.7039928322885
E000006,P000308,infra_intacte,fourreau,habitation,4,fourreau,35226.718709811925,195.7039928322885
E000006,P007173,infra_intacte,aerien,habitation,4,aerien,4351.171754437804,17.40468701775122
E000007,P007111,infra_intacte,fourreau,habitation,1,fourreau,11083.01520210237,61.5723066783465
E000007,P007111,infra_intacte,fourreau,habitation,1,fourreau,11083.01520210237,61.5723066783465
E000007,P007111,infra_intacte,fourreau,habitation,1,fourreau,11083.01520210237,61.5723066783465
E000007,P007982,infra_intacte,fourreau,habitation,1,fourreau,44960.5037053809,249.78057614100499
E000007,P000181,infra_intacte,aerien,habitation,1,aerien,3094.67135639563,12.37868542558252
E000007,P007132,infra_intacte,aerien,habitation,1,aerien,3193.9907523112597,12.77596300924504
E000008,P007111,infra_intacte,fourreau,habitation,6,fourreau,11083.01520210237,61.5723066783465
E000008,P007111,infra_intacte,fourreau,habitation,6,fourreau,11083.01520210237,61.5723066783465
E000008,P007111,infra_intacte,fourreau,habitation,6,fourreau,11083.01520210237,61.5723066783465
E000008,P007982,infra_intacte,fourreau,habitation,6,fourreau,44960.5037053809,249.78057614100499
E000008,P000352,infra_intacte,aerien,habitation,6,aerien,1666.493309946295,6.66597323978518
E000008,P007320,infra_intacte,fourreau,habitation,6,fourreau,4945.633189644762,27.475739942470902
E000009,P007111,infra_intacte,fourreau,habitation,2,fourreau,11083.01520210237,61.5723066783465
E000009,P007111,infra_intacte,fourreau,habitation,2,fourreau,11083.01520210237,61.5723066783465
E000009,P007111,infra_intacte,fourreau,habitation,2,fourreau,11083.01520210237,61.5723066783465
E000009,P007982,infra_intacte,fourreau,habitation,2,fourreau,44960.5037053809,249.78057614100499
E000009,P000352,infra_intacte,aerien,habitation,2,aerien,1666.493309946295,6.66597323978518
E000009,P007286,infra_intacte,aerien,habitation,2,aerien,3637.54891064663,14.55019564258652
E000010,P007111,infra_intacte,fourreau,habitation,5,fourreau,11083.01520210237,61.5723066783465
E000010,P007111,infra_intacte,fourreau,habitation,5,fourreau,11083.01520210237,61.5723066783465
E000010,P007111,infra_intacte,fourreau,habitation,5,fourreau,11083.01520210237,61.5723066783465
E000010,P007982,infra_intacte,fourreau,habitation,5,fourreau,44960.5037053809,249.78057614100499
E000010,P000352,infra_intacte,aerien,habitation,5,aerien,1666.493309946295,6.66597323978518
E000010,P007115,infra_intacte,semi-aerien,habitation,5,semi-aerien,7945.475264341724,42.3758680764892
E000011,P007111,infra_intacte,fourreau,habitation,8,fourreau,11083.01520210237,61.5723066783465
E000011,P007111,infra_intacte,fourreau,habitation,8,fourreau,11083.01520210237,61.5723066783465
E000011,P007111,infra_intacte,fourreau,habitation,8,fourreau,11083.01520210237,61.5723066783465
E000011,P007982,infra_intacte,fourreau,habitation,8,fourreau,44960.5037053809,249.78057614100499
E000011,P000352,infra_intacte,aerien,habitation,8,aerien,1666.493309946295,6.66597323978518
E000011,P007321,infra_intacte,fourreau,habitation,8,fourreau,11532.90403202967,64.07168906683151
E000012,P007111,infra_intacte,fourreau,habitation,7,fourreau,11083.01520210237,61.5723066783465
E000012,P007111,infra_intacte,fourreau,habitation,7,fourreau,11083.01520210237,61.5723066783465
E000012,P007111,infra_intacte,fourreau,habitation,7,fourreau,11083.01520210237,61.5723066783465
E000012,P007982,infra_intacte,fourreau,habitation,7,fourreau,44960.5037053809,249.78057614100499
E000012,P000241,infra_intacte,fourreau,habitation,7,fourreau,68383.79565241888,379.90997584677154
E000012,P007150,infra_intacte,fourreau,habitation,7,fourreau,7498.934901067616,41.66074945037565
E000013,P007111,infra_intacte,fourreau,habitation,3,fourreau,11083.01520210237,61.5723066783465
E000013,P007111,infra_intacte,fourreau,habitation,3,fourreau,11083.01520210237,61.5723066783465
E000013,P007111,infra_intacte,fourreau,habitation,3,fourreau,11083.01520210237,61.5723066783465
E000013,P007982,infra_intacte,fourreau,habitation,3,fourreau,44960.5037053809,249.78057614100499
E000013,P000241,infra_intacte,fourreau,habitation,3,fourreau,68383.79565241888,379.90997584677154
E000013,P007151,infra_intacte,aerien,habitation,3,aerien,5014.53834009445,20.0581533603778
E000014,P007111,infra_intacte,fourreau,habitation,5,fourreau,11083.01520210237,61.5723066783465
E000014,P007111,infra_intacte,fourreau,habitation,5,fourreau,11083.01520210237,61.5723066783465
E000014,P007111,infra_intacte,fourreau,habitation,5,fourreau,11083.01520210237,61.5723066783465
E000014,P007982,infra_intacte,fourreau,habitation,5,fourreau,44960.5037053809,249.78057614100499
E000014,P000241,infra_intacte,fourreau,habitation,5,fourreau,68383.79565241888,379.90997584677154
E000014,P007397,infra_intacte,aerien,habitation,5,aerien,5848.44630566905,23.3937852226762
E000015,P007111,infra_intacte,fourreau,habitation,6,fourreau,11083.01520210237,61.5723066783465
E000015,P007983,infra_intacte,aerien,habitation,6,aerien,20160.464433267647,80.6418577330706
E000015,P000160,infra_intacte,semi-aerien,habitation,6,semi-aerien,33468.9408578613,178.5010179085936
E000015,P000348,infra_intacte,aerien,habitation,6,aerien,4564.80073601778,18.25920294407112
E000015,P000020,infra_intacte,aerien,habitation,6,aerien,25656.05274742945,102.6242109897178
E000015,P007255,infra_intacte,semi-aerien,habitation,6,semi-aerien,9353.730423290775,49.8865622575508
E000016,P007111,infra_intacte,fourreau,habitation,5,fourreau,11083.01520210237,61.5723066783465
E000016,P007983,infra_intacte,aerien,habitation,5,aerien,20160.464433267647,80.6418577330706
E000016,P000160,infra_intacte,semi-aerien,habitation,5,semi-aerien,33468.9408578613,178.5010179085936
E000016,P000348,infra_intacte,aerien,habitation,5,aerien,4564.80073601778,18.25920294407112
E000016,P000020,infra_intacte,aerien,habitation,5,aerien,25656.05274742945,102.6242109897178
E000016,P007333,infra_intacte,aerien,habitation,5,aerien,5181.9675607341005,20.7278702429364
E000017,P007111,infra_intacte,fourreau,habitation,7,fourreau,11083.01520210237,61.5723066783465
E000017,P007111,infra_intacte,fourreau,habitation,7,fourreau,11083.01520210237,61.5723066783465
E000017,P007111,infra_intacte,fourreau,habitation,7,fourreau,11083.01520210237,61.5723066783465
E000017,P007982,infra_intacte,fourreau,habitation,7,fourreau,44960.5037053809,249.78057614100499
E000017,P000241,infra_intacte,fourreau,habitation,7,fourreau,68383.79565241888,379.90997584677154
E000017,P000029,infra_intacte,aerien,habitation,7,aerien,9472.8603782587,37.8914415130348
E000017,P007325,infra_intacte,fourreau,habitation,7,fourreau,7584.194423386763,42.1344134632598
E000018,P007111,infra_intacte,fourreau,habitation,3,fourreau,11083.01520210237,61.5723066783465
E000018,P007111,infra_intacte,fourreau,habitation,3,fourreau,11083.01520210237,61.5723066783465
E000018,P007111,infra_intacte,fourreau,habitation,3,fourreau,11083.01520210237,61.5723066783465
E000018,P007982,infra_intacte,fourreau,habitation,3,fourreau,44960.5037053809,249.78057614100499
